WARN  [Service Thread] 2018-03-02 04:23:15,916  GCInspector.java:282 - G1 Young Generation GC in 1558ms.  G1 Eden Space: 3053453312 -> 0; G1 Old Gen: 18404605968 -> 15753805840; G1 Survivor Space: 369098752 -> 436207616; 
INFO  [Service Thread] 2018-03-02 04:23:15,916  StatusLogger.java:52 - Pool Name                    Active   Pending      Completed   Blocked  All Time Blocked
INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - MutationStage                     0         0        8409382         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ViewMutationStage                 0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ReadStage                       268         0      191959277         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - RequestResponseStage              9         0      129952518         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,955  StatusLogger.java:56 - ReadRepairStage                   0         0        1032801         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - CounterMutationStage              0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - MiscStage                         0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - CompactionExecutor                0         0        1529787         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - MemtableReclaimMemory             0         0            827         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - PendingRangeCalculator            0         0             46         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - AntiCompactionExecutor            0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - GossipStage                       0         0         517883         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,956  StatusLogger.java:56 - SecondaryIndexManagement          0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - HintsDispatcher                   0         0              8         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MigrationStage                    0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MemtablePostFlush                 0         0            796         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - ValidationExecutor                0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - Sampler                           0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,957  StatusLogger.java:56 - MemtableFlushWriter               0         0            758         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - InternalResponseStage             0         0              1         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - AntiEntropyStage                  0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - CacheCleanupExecutor              0         0              0         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,958  StatusLogger.java:56 - Native-Transport-Requests        10         0       11306462         0                 0

INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:66 - CompactionManager                 0         0
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:78 - MessagingService                n/a      0/20
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:88 - Cache Type                     Size                 Capacity               KeysToSave
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:90 - KeyCache                  398411024                398458880                      all
INFO  [Service Thread] 2018-03-02 04:23:15,959  StatusLogger.java:96 - RowCache                          0                        0                      all
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.SourceStatus_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.SyncSource_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.JobProperties_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.JobAttempt_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.SourceType_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,962  StatusLogger.java:106 - xnetpipeline17G.Source_p                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.ServiceSource_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.FileEventGulla_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.Context_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.JobManager_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.JobProperties_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.Job_e                     0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.FileSource_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.JobPlan_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.SourceType_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetpipeline17G.Source_e                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetgraph1_system.shared_data                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,963  StatusLogger.java:106 - xnetgraph1_system.shared_data_versions                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - xnetgraph1_system.dseg_variables                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system_distributed.parent_repair_history                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system_distributed.repair_history                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - xnetgraph17G_system.shared_data                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - xnetgraph17G_system.dseg_variables                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - xnetgraph17G_system.shared_data_versions                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - dse_security.digest_tokens                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - dse_security.role_options                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - dse_security.spark_security                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system.compaction_history                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system.hints                              0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system.schema_aggregates                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,964  StatusLogger.java:106 - system.IndexInfo                          0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.schema_columnfamilies                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.schema_triggers                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.size_estimates          403980,3949908
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.schema_functions                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.paxos                        8346,1585
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.views_builds_in_progress                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.built_views                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.peer_events                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.range_xfers                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.peers                              0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.batches                            0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.schema_keyspaces                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.schema_usertypes                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,965  StatusLogger.java:106 - system.local                              0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system.sstable_activity          14399,102085
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system.available_ranges                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system.batchlog                           0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system.schema_columns                     0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - xnetpipeline1_system.shared_data_versions                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - xnetpipeline1_system.dseg_variables                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - xnetpipeline1_system.shared_data                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - dse_system.shared_data_versions                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - dse_system.encrypted_keys                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - dse_system.leases                         0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - dse_system.shared_data                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.columns                     0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.types                       0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.indexes                     0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.keyspaces                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.dropped_columns                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,966  StatusLogger.java:106 - system_schema.aggregates                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - system_schema.triggers                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - system_schema.tables                      0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - system_schema.views                       0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - system_schema.functions                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetpipeline_system.shared_data                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetpipeline_system.shared_data_versions                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetpipeline_system.dseg_variables                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.PSRduMac_e            30033,6708750
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.PsDerivedRduRef_p                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.PSMtaPort_e                73,16132
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.BST_e                80278,18253981
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.RduDeviceCOS_e                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.BMA_e               156520,36930660
INFO  [Service Thread] 2018-03-02 04:23:15,967  StatusLogger.java:106 - xnetgraph.BBF_p                   8120,851320
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.ACTSTATUSREF_e                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BCDREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.ACCT_STATUS_e         44034,8882570
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.J_BACCCOS_e_OUT_byBACCCOS_BRA_FDT_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BDT_p                           0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.PSCmsCliRef_p                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.ACCT_e                28745,6454582
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BDCREF_p                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BDC_e               289503,57847106
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.IMSEdvaMac_e          18313,4090522
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.IMSDomain_p                 84,7608
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.PSMacaddress_p      265069,16278159
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.NPAREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BEDREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BMR_e               357801,80350156
INFO  [Service Thread] 2018-03-02 04:23:15,968  StatusLogger.java:106 - xnetgraph.BLACCT_e            224738,49009464
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BLSYSTEMREF_p                   0,0
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BRD_p                      119,9756
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.USERPROFILE_p         44144,5320139
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BRLREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BDTREF_p                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BRS_e                94699,21712196
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.PSCmsCli_e              3459,841172
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.VMNPA_p                   910,62852
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.VMMobileTn_e           7794,1428519
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BMA_p               235075,18520480
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.IMSNPA_e               7489,1482940
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BCD_p                         7,508
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.J_BACCCOS_e_OUT_byBACCCOS_BDY_TDT_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,969  StatusLogger.java:106 - xnetgraph.BRL_e               180184,39844924
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.BSY_p                 73623,9555572
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.IMSSID_e              39001,8473322
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.IMSHFSbrEx_p                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.NPAREF_p                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.BBFREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.PSTN_p                35014,2793766
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.BLSYSTEM_e            18530,3823464
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.IMSHTN_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.PSDeviceType_p              21,1545
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.FIB_NODE_p            65128,4874269
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.BRL_p                 17962,1550840
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.ACTSTATUSREF_p                  0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.BDY_p                           0,0
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.SERPROVID_e         297766,67762275
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.PSRdu_p                     28,2604
INFO  [Service Thread] 2018-03-02 04:23:15,970  StatusLogger.java:106 - xnetgraph.HG_e                     969,192724
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.IMSHDomain_p                    0,0
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.ACCT_STATUS_p                 7,499
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BDCREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BBF_e               201465,43498915
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BRAREF_e                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BRA_e                79578,18060790
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.IMSFSbr1_e              3479,788977
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.ABMR_e                          0,0
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BDM_p                    1120,86128
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.GROUPPROFILE_p      462297,43281429
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.PSACCTTN_p            47632,5945094
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.IMSSID_p             81888,10174898
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.MAC_e               214339,48237188
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.NPAREFH_p                       0,0
INFO  [Service Thread] 2018-03-02 04:23:15,971  StatusLogger.java:106 - xnetgraph.BSTREF_p                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.IMSFSbr_p             67779,9596496
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.VMTn_e                14407,2897051
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.BBFREF_p                        0,0
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.PsDerivedRduRef_e                 0,0
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.IMSHFSbr_e                      0,0
INFO  [Service Thread] 2018-03-02 04:23:15,972  StatusLogger.java:106 - xnetgraph.BPS_e                           0,0
